agent_id,case_group,case_subgroup,instruction,associated_url,allow_url_reading,active,horas_cache_pagina,response_mode
c1330a20-c057-4764-8121-6268ca02f280,Educación,"Escuela Infantil Reina Sofía - teléfono, contacto (guardería, escuela infantil, 0-3 años)",Para contactar con la Escuela Infantil Reina Sofía puedes llamar al 654 009 924.,,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Deportes,"Pabellón de Deportes - teléfono, contacto (polideportivo cubierto, deporte, instalación deportiva)",¿Necesitas hablar con el Pabellón de Deportes? Llama al 6092021423.,,False,False,,directo
c1330a20-c057-4764-8121-6268ca02f280,Deportes,"Polideportivo Municipal - teléfono, contacto (instalaciones deportivas, deporte, pistas)",El teléfono de Polideportivo Municipal es el 654 009 925.,,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Deportes,"Campo de Fútbol - teléfono, contacto (fútbol, instalación deportiva)",Para contactar con el Campo de Fútbol puedes llamar al 654 009 878.,,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Empleo y Formación,"Agencia de Desarrollo Local - teléfono, contacto (empleo, formación, orientación laboral, empresas)",¿Necesitas hablar con la Agencia de Desarrollo Local? Llama al 654 009 902.,,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Servicios Sociales,"Servicios Sociales - teléfono, contacto (ayudas sociales, trabajador/a social, dependencia, ayuda a domicilio)",El teléfono de Servicios Sociales es el 654 009 885.,,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Bienestar Animal,"Albergue de Protección Animal - teléfono, contacto (perrera, animales abandonados, adopción de animales)",Para contactar con el Albergue de Protección Animal puedes llamar al 661 385 830.,,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Urbanismo,"Oficina Técnica - teléfono, contacto (obras, licencias de obra, urbanismo)",¿Necesitas hablar con la Oficina Técnica? Llama al 654 009 895.,,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Cultura y Turismo,"Biblioteca Municipal - teléfono, contacto (libros, préstamo, sala de estudio)",El teléfono de Biblioteca Municipal es el 968 622 143.,,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Educación,"Concejalía de Educación - teléfono, contacto (colegios, centros educativos, educación)",Para contactar con la Concejalía de Educación puedes llamar al 654 009 903.,,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Educación,"CES Vega Media - teléfono, contacto (centro de educación secundaria, instituto)",¿Necesitas hablar con el CES Vega Media? Llama al 968 620 913.,,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Educación,"CEIP Monte Anaor - teléfono, contacto (colegio, centro educativo, educación infantil y primaria)",El teléfono de CEIP Monte Anaor es el 968 620 302.,,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Educación,"CEIP Nuestra Señora del Carmen - teléfono, contacto (colegio, centro educativo, educación infantil y primaria)",Para contactar con el CEIP Nuestra Señora del Carmen puedes llamar al 968 620 204.,,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Educación,"IES Villa de Alguazas - teléfono, contacto (instituto, educación secundaria, bachillerato)",¿Necesitas hablar con el IES Villa de Alguazas? Llama al 968 622 305.,,False,True,,directo
